Company Name,Website,Priority Score,Industry,Size,Why They're a Good Fit,Target Decision Maker,LinkedIn,Value Proposition,Outreach Strategy,Conversation Starters
"Wysa","https://www.wysa.com",10,"AI Mental Health Chatbot","7M+ users, 65 countries, $20M+ raised","India's leading AI mental health chatbot; 66% users from tier-2/3 cities needing Hinglish support; 60-school phygital program could benefit from Hinata's web-based PWA","Ramakant Vempati (Co-founder/President) / Jo Aggarwal (CEO)","https://www.linkedin.com/in/ramakantvempati / https://www.linkedin.com/in/joaggarwal","Hinata's emotion engine (9 moods, 8 personalities), Hinglish support, and memory system can enhance Wysa's chatbot for deeper engagement in tier-2/3 cities","LinkedIn outreach — mention their school project in Mumbai/Raigad and how Hinata's web-based PWA lowers deployment barriers","1. 'Your 60-school phygital project in Mumbai is impressive. Hinata's PWA could let students access support without app stores.'; 2. '66% of your users are from smaller towns — Hinata's Hinglish support directly addresses that demographic.'"
"Rumik AI (Ira)","https://rumik.ai (mentioned in Forbes India)",9,"AI Companion App","Approaching 1M users, seed funded 2024","Founder explicitly chose WhatsApp-native approach (same philosophy as Hinata's Telegram-first); fast growth means scaling needs; non-clinical companion = perfect fit for Hinata's personality/mood engines","Rohan Chaudhary (Founder)","https://www.linkedin.com/in/rohan-chaudhary-rumik (search to confirm)","Hinata's 8 personalities, 9 mood states, and long-term memory system provide a battle-tested personalization engine; multi-provider failover reduces inference costs","LinkedIn outreach — reference the Forbes India article and shared vision of 'AI companions where life already happens'","1. 'Your WhatsApp-native approach aligns with our Telegram-first philosophy. Hinata's emotion engine and memory system could accelerate your personalization.'; 2. 'Approaching 1M users — our multi-provider failover could help you scale inference without vendor lock-in.'"
"Mello","Mentioned in Forbes India Feb 2026 — likely mello.app",8,"AI Companion / Digital Mental Health","Early-stage, growing rapidly","Featured in Forbes India as a key AI companion app; users turn to it for 'everyday struggles' — exactly Hinata's sweet spot; mood tracking need aligns with Hinata's emotion engine","CEO / Product Lead (TBD)","TBD — search LinkedIn for Mello AI companion India","Hinata's auto-training and memory system can directly improve Mello's retention by remembering user preferences, mood patterns and past conversations","LinkedIn outreach or product email — highlight user engagement metrics (message frequency, relationship progression)","1. 'Your users call Mello an 'everyday saviour' — Hinata's progressive relationship system (stranger to best friend) was built for exactly that depth.'; 2. 'We've built the memory and emotion engine. Worth a conversation on integration?'"
"YourDOST","https://yourdost.com",7,"Online Therapy / Emotional Support","IIT-incubated, India's largest online therapy platforms","Strong therapist network needing AI triage layer; Hinata can handle mild distress before therapist matching; Hinglish support reaches tier-2 users","Richa Singh (Co-founder & CEO)","https://www.linkedin.com/in/richa-singh-yourdost","Hinata as an 'AI triage layer' — handles mild emotional distress before human therapist matching; distress detector flags high-risk users","LinkedIn outreach — emphasize shared 'emotional support' mission","1. 'YourDOST's therapist network is impressive. Hinata could serve as the first-line AI triage layer for mild distress cases.'; 2. 'Our Hinglish support helps reach tier-2 users — a key demographic for YourDOST.'"
"Amaha (InnerHour)","https://www.amahahealth.com",7,"Digital Mental Health (Therapy + Self-Help)","Major Indian cities, strong clinical team","Combines therapy + AI self-help tools; Hinata's memory-driven personalization complements their personalized care plans; open-source = clinical team can audit AI behavior","Dr. Amit Malik (Founder & CEO)","https://www.linkedin.com/in/amit-malik-amaha","Hinata adds a continuous companionship dimension to Amaha's self-help toolkit; MIT license lets clinical team fully audit AI behavior","LinkedIn or email to Dr. Malik — highlight open-source auditability for clinical compliance","1. 'Amaha's personalized care plans align well with Hinata's memory-driven personalization. Open-source means your clinical team can audit everything.'; 2. 'We offer a continuous AI companionship layer between therapy sessions.'"
"MindPeers","https://www.mindpeers.co",7,"AI-Powered Preventive Mental Health","Emerging Indian platform","Focus on preventive care (not just treatment) aligns with Hinata's daily companion positioning; combination of assessments + therapy needs a continuous engagement layer","CEO / Co-founder (TBD)","Search LinkedIn for MindPeers leadership","Hinata's AI engine as the 'continuous care layer' between assessments and therapy — daily mood checks, memory-driven check-ins, active listening","Website contact form or LinkedIn — highlight preventive care / daily engagement synergy","1. 'Your preventive care focus is exactly where daily AI companionship shines. Hinata could be the continuous engagement layer between your assessments.'"
"Careflick","https://www.careflick.com",6,"AI Elderly Care Companion","Early-stage, mentioned in Forbes India Feb 2026","Elderly companion market needs patient, warm AI interactions; Hinata's gentle personalities ('sweet', 'calm') are ideal for seniors; web-based PWA = no app store barrier","Founder (TBD)","TBD — search LinkedIn for Careflick","Hinata's 'sweet' and 'calm' personality modes are purpose-built for patient elderly interactions; text-based = simpler than video calls","LinkedIn outreach — reference Forbes India article on AI companions for elderly","1. 'Elderly users need patience and warmth — Hinata's personality system was designed for exactly this kind of interaction.'; 2. 'Our web-based PWA means no app store installation — better for senior users.'"
"Vyna","Mentioned in Forbes India Feb 2026",6,"AI Companion App","Early-stage","Listed among emerging AI companions in India; likely already has PMF and needs feature expansion; Hinata offers mature personalization","Founder (TBD)","TBD","Hinata's emotion/personality engines as a drop-in upgrade for their companion AI","LinkedIn outreach — offer Hinata's personality system as alternative/complement","1. 'You're building in the AI companion space — Hinata's 8 personalities and 9 moods could accelerate your personalization roadmap.'"
"Manah Wellness","https://www.manahwellness.com",6,"Workplace Mental Health (B2B/EAP)","Serving multiple Indian corporates","B2B EAP model needs scalable 24/7 solutions; Hinata's multi-language support serves diverse workforce; low-cost multi-provider AI suits enterprise budgets","CEO / Chief Revenue Officer (TBD)","TBD","Hinata as a scalable, multi-language AI mental health layer for EAP programs; low-cost architecture makes per-employee pricing viable","LinkedIn outreach — pitch as B2B AI mental health layer for EAP programs","1. 'Your EAP model needs scale — Hinata's multi-provider AI gives 24/7 coverage across Hindi, English and Hinglish at low cost.'"
"iWill","https://www.iwill.co.in",6,"Online Therapy Platform","Major Indian online therapy platform","Targets millennials/Gen Z = most AI-comfortable demographic; structured programs need between-session support; looking for innovation differentiators","CEO / Co-founder (TBD)","TBD","Hinata as between-session support tool — keeps users engaged between therapy sessions with mood tracking and check-ins","LinkedIn outreach — position as between-session engagement tool","1. 'Your Gen Z audience is already comfortable with AI. Hinata could provide daily check-ins between therapy sessions to improve outcomes.'"
"Trijog","https://www.trijog.com",5,"Therapy Solutions (Individual + Family)","Medium-sized Indian platform","Personalized therapy approach needs AI support layer; family counseling positioning — Hinata's multi-language support helps reach diverse family members","Co-founder / Clinical Lead (TBD)","TBD","Hinata's memory-driven personalization as an AI support layer for their therapy platform","LinkedIn outreach","1. 'Trijog's personalized therapy approach and Hinata's memory-driven AI are a natural fit for between-session support.'"
